"REG_DESCRIPTION","STS_STRA_ID","STS_YEAR","SEASON","SEASON_ID","STS_SUBMIT_RATE","EST_METHOD_NAME"
"Juan de Fuca Sport",300,2005,"Spring",1,0.065351418002466091,"Temporal Average"
"Juan de Fuca Sport",300,2005,"Summer",2,0.11434302908726178,"Temporal Average"
"Juan de Fuca Sport",300,2005,"Fall",3,0.11147540983606558,"Temporal Average"
"Juan de Fuca Sport",300,2006,"Spring",1,0.039003250270855903,"Temporal Average"
"Juan de Fuca Sport",300,2006,"Summer",2,0.12079261672095547,"Temporal Average"
"Juan de Fuca Sport",300,2006,"Fall",3,0.16426512968299711,"Temporal Average"
"Juan de Fuca Sport",300,2007,"Spring",1,0.061783756851021422,"Temporal Average"
"Juan de Fuca Sport",300,2007,"Summer",2,0.17901234567901234,"Temporal Average"
"Juan de Fuca Sport",300,2007,"Fall",3,0.025618374558303889,"Temporal Average"
"Juan de Fuca Sport",300,2008,"Spring",1,0.065049614112458659,"Temporal Average"
"Juan de Fuca Sport",300,2008,"Summer",2,0.089893914014517032,"Temporal Average"
"Juan de Fuca Sport",300,2008,"Fall",3,0.092864125122189639,"Temporal Average"
"Juan de Fuca Sport",300,2009,"Spring",1,0.025961222477817944,"Temporal Average"
"Juan de Fuca Sport",300,2009,"Summer",2,0.075847818159718,"Temporal Average"
"Juan de Fuca Sport",300,2009,"Fall",3,0.080419580419580416,"Temporal Average"
"Juan de Fuca Sport",300,2010,"Spring",1,0.084934277047522752,"Temporal Average"
"Juan de Fuca Sport",300,2010,"Summer",2,0.15143412736995623,"Temporal Average"
"Juan de Fuca Sport",300,2010,"Fall",3,0.088789237668161436,"Temporal Average"
"Juan de Fuca Sport",300,2011,"Spring",1,0.12248995983935744,"Temporal Average"
"Juan de Fuca Sport",300,2011,"Summer",2,0.17803940413262853,"Temporal Average"
"Juan de Fuca Sport",300,2011,"Fall",3,0.08637577916295637,"Temporal Average"
"Juan de Fuca Sport",300,2012,"Spring",1,0.066666666666666666,"Temporal Average"
"Juan de Fuca Sport",300,2012,"Summer",2,0.16435675851948478,"Temporal Average"
"Juan de Fuca Sport",300,2012,"Fall",3,0.1000699790062981,"Temporal Average"
"Juan de Fuca Sport",300,2013,"Spring",1,0.047161376554783099,"Temporal Average"
"Juan de Fuca Sport",300,2013,"Summer",2,0.14602633944375115,"Temporal Average"
"Juan de Fuca Sport",300,2013,"Fall",3,0.046983188455212641,"Temporal Average"
"Juan de Fuca Sport",300,2014,"Spring",1,0.099245852187028652,"Temporal Average"
"Juan de Fuca Sport",300,2014,"Summer",2,0.14905051150232163,"Temporal Average"
"Juan de Fuca Sport",300,2014,"Fall",3,0.084856396866840725,"Temporal Average"
